,#label,doc_id,sentence_id,text
0,0,124,204,主食の米に、油と塩を多用する
1,0,91,349,主食は米、魚、野菜、果物である
2,1,177,465,魚・肉の料理が比較的に少なく、スープや野菜の煮物などの料理が圧倒的に多い
3,0,120,165,肉、魚、野菜などの具材を炒めてからスープで煮込んだ後、同じスープで米を炊き込むベンヌチン（1つ鍋）と、炊いた白米の上に、野菜などを煮込んだソースをかけるニャーリチン（2つ鍋）とに大別される
4,1,90,122,主に、パーム油、コーヒー、木材
5,1,158,108,ほかに輸出品として衣料、動物の皮、バニラ、野菜、果物、切花、魚が成長しており、茶、タバコも依然重要な産品である
6,1,149,498,最もポピュラーなのは魚・肉などを串焼きにするキャバーブである
7,1,149,497,また、カスピ海やペルシャ湾から獲れる魚料理に、鳥・羊・牛などの他、ラクダ|駱駝等も用いる肉料理、野菜料理などは種類豊富
8,1,116,252,中でも肉骨茶（バクテー）は人気が高い
9,1,104,195,アンゴラの主食は、キャッサバやトウモロコシの粉を湯と混ぜて餅状にしたフンジであり、肉や野菜をパーム油と煮た、シチュー状のムアンバと共に食べることが多い
10,0,124,207,おかずも油や塩がよくきいていて、高カロリーなものが多い
11,1,130,401,夏期には米を栽培し、冬期は麦を育てる
12,1,113,489,コメのほかコーヒー、茶、ゴム、魚製品の輸出も多い
13,1,134,65,経済格差が大きく、木材とコプラ、パーム油に鰹と鮪が主要品目である
14,0,110,196,イタリアの森林業資源はとぼしく、木材の多くを輸入にたよっている
15,0,96,74,このような気候を受け、国土の1/3が森林であるほか、ステップ性の草原も残っている
16,1,177,467,肉料理は豚肉料理、魚料理は鯉類料理が一般的である
17,1,144,143,多くの場合、魚・牛肉・鶏肉や調理された野菜を副菜にして一緒に食べる
18,0,177,473,調味料としては、サーロ、向日葵油、スメターナ、酢、塩、蜂蜜などが用いられる[100]
19,1,109,374,シュルパ（シュルヴァやシャルヴァとも呼ばれる）は脂肪の多い肉（通常羊肉を用いる）の大きな塊と新鮮な野菜から作るスープである
20,1,109,371,ウズベキスタンの国民食はプロフ（パラフ、パラウ、オシュとも呼ぶ）であり、米、肉、ニンジンやタマネギなどの野菜を使用して作るピラフに似た料理で、主菜として供される
21,0,79,598,ローストした大量の肉塊ばかりではなく、キャベツや根野菜、主食のイモを多く使う
22,1,109,377,肉と野菜のシチューに近いディムラマや様々なカバブは通常主菜として供される
23,0,29,159,カーボベルデの料理は大概魚とトウモロコシと米のような主食を基礎としている
24,1,53,341,海に囲まれているため魚介類も豊富で、魚や海老などを使った料理も多い
25,0,14,187,WWFからの報告で、同国のエコリージョンは中央ヨーロッパの混交林、東ヨーロッパの森林草原、ポントス・カスピ海草原の3つのエリアに細分されていることが明らかとなっている
26,0,149,278,一方、イランの東半は塩分を含むキャビール砂漠のような無人に近い砂漠地帯が広がり、塩湖が点在する
27,0,142,11,同国の地形は、乾燥した北の森林ステップ、ゴビ砂漠、タクラマカン砂漠から、多湿な南の亜熱帯の森林まで広大かつ多様である
28,0,25,374,ヨルダンとの国境付近に、世界的にも高濃度の塩湖である死海がある
29,1,9,347,チリの主な農産物は、穀物であるオート麦、トウモロコシ、小麦、果物 - 桃、リンゴ、ナシやブドウと野菜ニンニク、タマネギ、アスパラガスと豆などである
30,1,124,205,塩水と油で炊いた米に、更に炊き上がったらサラダ油をたっぷりとかけてツヤツヤにする
31,0,64,522,現在、1%から2.8%のアメリカ人が肉、家禽、魚を全く食べないと回答している[107][108][109][110]
32,1,140,157,また果樹・青果物栽培も行なっており、主にキウイフルーツやフェイジョア、キワノ、タマリロなどの果物やパースニップ、スウィード、ビートルート、ルバーブ、リーキなどの野菜が名産となっている
33,1,55,747,四季があり降水量が多いため、米を含む穀物、野菜や山菜などの種類が豊富である
34,0,4,152,主要産業はGDPの約35%を占める農業（米、麦など、林業も含む）だが、最大の輸出商品は電力である
35,1,174,593,よく知られているものとしては、前者にソーセージ （Wurst） 、ハム （Schinken） 、チーズ （Käse） などの冷製食品、後者に塩漬け肉アイスバイン（Eisbein）、キャベツの塩漬けザワークラウト（Sauerkraut）、肉や魚の団子クネーデル（Knödel）などがある
36,1,9,303,林業については、国土の2割が森林となっており木材生産が盛んに行われてきたが、1980年代以降、アメリカ合衆国や日本の業者が進出し、パルプ用の木材チップの生産を飛躍的に高めた
37,1,80,577,マダガスカルでは毎回の食事に米飯が食され、それにさまざまな種類の香り豊かな野菜料理か肉料理が一品つくのが普通である[159]
38,1,174,160,主な天然資源は、鉄鉱石、石炭、炭酸カリウム、木材、褐炭、ウラン、銅、天然ガス、塩、ニッケル、可耕地と水である[14]
39,0,111,112,モンゴルの草原
40,1,4,176,例外は輸出が可能な果樹、原木である
41,1,9,297,農業については、果樹類の生産が特筆される
42,1,62,152,農業は果樹・穀類栽培と牧畜がある
43,1,37,151,その他の麦や、トウモロコシやジャガイモの生産も盛ん
44,1,130,324,麦類は乾燥した気候に強いからである
45,0,109,380,他にもタシュケント付近では黒茶などの茶が出されることも多いが、緑茶や黒茶に牛乳や砂糖を入れて飲むようなことはしない
46,1,24,135,ほかに茶が栽培される
47,0,172,434,茶も同様である
48,1,179,662,麦のクレープガレットや、ケーキなどの菓子文化も発達した
49,1,107,56,クレオール料理のレストランでは、調理された米・肉（鶏・豚・七面鳥など）・芋・豆などが1つの大きな皿に乗って提供される
50,1,192,145,観光のほか、国土の約半分を占める森林から得られる木材、ナムグム・ダムを始めとする水力発電の隣国タイへの売電、対外援助などが主な外貨源となっている
51,1,125,54,豊かな木材資源もある
52,1,31,321,食文化としては大量にとれる米を主食とし、ガンジス川流域や海岸、汽水域などで大量にとれる魚も重要な蛋白源となっている
53,0,171,73,"国土中央部にはバラ砂漠と呼ばれる砂漠が、標高1,500mほどの地帯にはダイの森（Forêt de Day）と呼ばれる森林地帯が、タジュラ湾沿いの海岸にはマングローブ林が存在する"
54,1,144,95,チャンボという魚が有名
55,0,80,174,中央高地の森林生態系は、土地の耕作意欲の高まりと、コブウシの牧草地需要の恒常的な増加により、17世紀までには草原へと、大きくその姿を変容させた[38]
56,0,101,72,東日本大震災において、国際熱帯木材機関を通じ、復興用木材の提供を行った
57,1,147,99,豊かな木材資源も有望であるとされる
58,0,128,131,砂漠には砂丘のみならず、岩石砂漠や礫砂漠も存在する
59,0,63,102,この高原の北部にはアフリカ最大の塩湖であるエトーシャ塩湖が広がる
60,1,146,308,野菜栽培で有名
61,1,135,502,中央部では麦類、ぶどう、畜産物を産する
62,1,92,249,果樹栽培は全国的に盛んであるが、リンブルフ州南部とヘルデルラント州およびユトレヒト州西部の河成粘土地域は牧場か果樹園が一番多い
63,1,82,84,豊かなボーキサイトや木材資源に恵まれている
64,0,9,317,南部の森林地帯の荒々しい美しさ、北部のアタカマ砂漠の広漠とした風景、5月から9月にかけてのアンデス山脈のスキーシーズンが観光客を惹きつけている
65,0,19,185,森林率は19%であり高山植物から熱帯雨林まで様々な植物の自生地帯が存在するが、大陸の大半は砂漠とステップ（半乾燥帯）で占められる[44]
66,0,70,222,そのため市場に出回る魚の価格は上昇を続けており、国民が魚を口にする機会は昔に比べると減っている
67,1,107,58,その他にmanicou（オポッサム）の肉料理などもある
68,1,109,381,茶は必ず食事とともに提供されるが、ホスピタリティの一環として、客を招いた際には必ず緑茶もしくは黒茶を出す習慣がある
69,1,135,501,農業は適地適作であり、北部は麦類、畜産物を産する
70,1,149,499,野菜料理は煮込むものが多い
71,1,36,294,このほか、リン鉱と塩も産出する
72,1,37,162,塩、石灰岩の生産も見られる
73,1,194,159,塩は岩塩ではなく、塩田を利用したものである
74,0,172,208,生産者から米・小麦・砂糖・食用油などの作物を最低支持価格で買上げ、政府が定める中央卸売価格を基準に公正価格店に卸す体制がつくられた
75,0,112,231,国土の90%は砂漠で、ナイル川の西側にはサハラ砂漠の一部である西部砂漠（リビア砂漠）、東側には紅海とスエズ湾に接する東部砂漠（الصحراء الشرقية - シャルキーヤ砂漠）がある
76,0,160,151,イギリスは森林も少なく、日本が国土の3分の2が森林で覆われているのに対し、イギリスの森林率は11%ほどである[40]
77,0,167,245,森林[編集]
78,0,74,82,但し、国土の大部分はサルイイシコトラウ砂漠やキジルクム砂漠などの砂漠や乾燥したステップで占められている
79,1,167,261,農林業ではカカオ、キャッサバ、キャベツ、ココナッツ、米、コーヒー豆、サツマイモ、大豆、タバコ、茶、天然ゴム、トウモロコシ、パイナップル、バナナ、落花生の生産量が多い
80,1,10,143,農林産品としてはこのほか、カシューナッツや木材の輸出もある
81,0,51,117,ヨーロッパ最大の草原のひとつ （ホルトバージ国立公園）
82,0,50,164,なお紅茶ではなく中国茶が多く飲まれている[32]
83,0,91,196,フィリピン海、南シナ海、セレベス海に囲まれる
84,1,167,263,オイルパーム（アブラヤシ）から精製されるパームオイル（パーム油、ヤシ油）は、植物油の原料の一つで、1990年代後半日本国内では菜種油・大豆油に次いで第3位で、食用・洗剤・シャンプー・化粧品の原料として需要の増大が見込まれている
85,0,94,133,この砂漠は風によって絶えず景色が変化する砂砂漠（エルグ）、ごつごつした石や砂利と乾燥に強い植物がわずかにみられる礫砂漠、または植生のない岩肌がむき出しになっている岩石砂漠が広がっており、砂砂漠は一部であり、大部分は礫砂漠と岩石砂漠で占められている[10]
86,0,75,283,"国土を囲む海域には北極海の一部であるバレンツ海、白海、カラ海、ラプテフ海、東シベリア海と、太平洋の一部であるベーリング海、オホーツク海、日本海、そして西のバルト海と西南の黒海があり、海岸線は37,000kmに及ぶ"
87,1,109,370,羊肉はウズベキスタン国内でヒツジの放牧が盛んであることから一般的に販売されている肉であり、様々なウズベキスタン料理に使用されている
88,0,19,169,大鑽井盆地より更に西はグレートサンディ砂漠、グレートビクトリア砂漠、ギブソン砂漠等の砂漠が広がり、人はあまり住んでいない
89,1,29,119,資源には見るべきものがなく、わずかに塩が生産されるのみである
90,1,52,135,塩を4万トン生産する
91,0,172,566,ガンディーは「塩の行進」を開始したが成功しなかった
92,1,184,116,鉱業の対象となる唯一の資源は塩である
93,0,110,151,東はアドリア海、西でティレニア海とリグリア海、南でイオニア海と地中海に面している
94,1,160,255,有機鉱物以外では、世界第8位となるカリ塩 （KCl） 、同10位となる塩 （NaCl） がある
95,1,151,216,森林 （36%） も多い
96,1,50,163,また茶を飲む習慣も広まったが、茶は砂糖とミントを入れて沸騰させ濃いめにし小さなグラスで3回に分けて飲むというスタイルである[32]
97,1,93,110,国土の多くは草原となっており馬や牛や羊が飼育されている
98,0,168,245,西にアンデス山脈、東にはパンパと呼ばれる大草原が広がる
99,0,177,37,ウクライナの国土のほとんどは、肥沃な平原、ステップ（草原）、高原で占められている
100,1,53,338,基本的には豆やトウモロコシ、鳥肉を原材料に使ったメニューが主体になっており、他にも米や魚類、牛肉なども使われることが多く、一見単純に見えて繊細な味がその人気の理由とされている